x, y, z, size 
133.005707, 134.886932, 266.964905, 1.626071, 705.678528 
-0.635436, -127.001389, 393.822083, 1.031570, 1695.864502 
-25.380024, -5.420228, 282.211121, 1.846242, 480.785492 
-67.996254, -96.480423, 194.614288, 1.229608, 620.689880 
-26.283371, -6.742918, 380.552216, 1.765593, 255.537308 
-63.133621, -62.462326, 364.940582, 1.891064, 959.157532 
5.197018, 142.073212, 277.848480, 1.285689, 473.667206 
144.280350, 132.645828, 372.020233, 1.307278, 479.978851 
-7.301169, -7.744340, 164.171295, 1.333287, 548.600037 
-102.209343, 88.368774, 247.171936, 1.701973, 50001.023438 
57.048264, 65.606842, 217.445648, 1.890894, 666.937195 
28.659517, 12.541638, 394.029297, 1.062541, 1079.453613 
-102.370430, 107.344482, 416.399200, 1.524568, 50001.031250 
92.027939, -146.748764, 383.075806, 1.631112, 687.366943 
54.588676, -138.595459, 328.895691, 1.665319, 508.006561 
112.560730, 135.268524, 330.455963, 0.962120, 1379.457275 
102.832108, 90.734413, 421.106995, 1.604078, 386.154022 
-95.433197, -86.717102, 212.312317, 1.791903, 635.087585 
143.794769, -142.315155, 355.980591, 1.165935, 1133.800293 
-118.242950, 73.866501, 372.459839, 1.364625, 663.606079 
-56.030357, 105.442116, 310.915222, 1.485783, 329.607605 
-102.608696, -104.014191, 374.196869, 1.592959, 1227.036499 
-122.956161, 104.490623, 290.040771, 1.366771, 1782.757690 
30.429586, 116.215370, 369.009186, 1.946858, 368.281311 
131.207550, -10.317179, 325.506531, 1.311619, 286.000000 
2.847123, -56.900768, 285.584961, 1.235249, 571.799988 
35.852757, -63.927681, 283.366241, 1.314583, 655.186340 
-24.609762, 130.383896, 205.095215, 0.989668, 522.573181 
-28.687817, 40.844837, 118.948303, 1.121683, 591.435364 
-68.906609, -62.590973, 302.579132, 1.533334, 765.215515 
-72.800758, -153.922623, 346.498291, 1.467836, 474.157379 
43.926922, 17.363041, 282.910645, 1.904331, 799.195923 
-9.319874, 0.615066, 261.638489, 1.063757, 1060.683350 
16.237383, 34.273670, 146.958145, 1.253214, 778.683838 
-96.519653, 109.504356, 330.510742, 1.273109, 1710.643311 
29.501554, 16.450987, 203.962402, 1.734879, 50001.085938 
-52.690365, -92.524712, 245.474136, 1.392099, 323.431152 
4.759088, -22.093422, 402.275848, 1.266382, 484.004791 
102.229271, 52.600437, 419.638977, 1.350348, 50001.093750 
-32.138077, 9.070417, 377.876343, 1.394722, 619.774536 
74.219254, -126.639664, 314.774780, 1.687846, 482.463196 
90.126167, 11.076277, 298.350159, 1.555111, 631.400024 
-23.635624, -25.134453, 122.699219, 1.190328, 275.437561 
82.656837, 137.004395, 274.051910, 1.744553, 982.313293 
12.912672, -72.798576, 433.205505, 1.984380, 991.600037 
97.042236, 3.220864, 384.024841, 1.324822, 723.447998 
-51.923508, -2.963151, 408.249176, 1.874960, 445.331451 
-13.153498, 62.527191, 362.689941, 1.031655, 313.695221 
-33.222042, -82.029793, 360.212280, 1.075137, 1363.596558 
61.303112, 74.240379, 325.133728, 1.430844, 378.229340 
30.335335, 10.027212, 262.969482, 1.565853, 50001.121094 
10.463240, -145.128845, 373.960938, 1.097973, 403.553223 
142.864288, 98.087898, 408.302734, 1.752174, 995.616150 
-32.841274, 49.028278, 313.587189, 1.096107, 641.612915 
-3.497305, -84.372665, 292.416687, 1.727905, 645.907227 
-27.262253, 5.059223, 399.339783, 1.996332, 50001.132812 
-122.645859, -0.957556, 427.983124, 1.848251, 1960.969238 
143.483780, -142.068680, 406.578674, 1.759994, 694.581543 
-113.583099, 0.276648, 408.658508, 1.932835, 50001.140625 
-8.565944, 116.292809, 370.688110, 0.967841, 957.895264 
118.267090, -19.958895, 364.107330, 1.573263, 409.160065 
