x, y, z, size 
30.061388, -8.161282, 17.264275, 1.626071, 572.550354 
22.804348, 20.579653, -20.892614, 1.031570, 446.813293 
-29.953363, -3.739402, -203.583847, 1.846242, 226.301437 
-0.968170, 2.981004, 50.309666, 1.229608, 768.508972 
-11.707346, 33.571938, -203.664490, 1.765593, 185.151917 
24.382475, 3.654104, -204.348602, 1.891064, 307.399994 
-10.071686, 28.233322, -204.715500, 1.285689, 228.600006 
0.803331, 10.128466, -204.122818, 1.307278, 211.562820 
-11.613944, 8.942149, -204.096802, 1.333287, 238.741547 
3.481229, -8.983444, -203.728119, 1.701973, 275.102661 
17.735180, -5.905062, -203.539215, 1.890894, 224.297485 
3.602867, -38.415253, -204.367554, 1.062541, 407.241364 
-11.687229, -36.049652, 38.363575, 1.524568, 1069.407715 
11.983208, 27.222094, -203.798996, 1.631112, 254.589432 
33.015633, 35.616608, -205.762421, 1.665319, 263.600006 
15.585044, -34.887733, 32.246658, 0.962120, 725.138123 
-16.686865, -42.208065, 38.728249, 1.604078, 1188.587646 
-4.207351, -12.990473, -204.620789, 1.791903, 252.600006 
14.283564, 29.211294, 36.488983, 1.165935, 711.900391 
-0.206376, 28.230604, -204.065475, 1.364625, 249.206497 
6.429669, 6.234982, -205.593491, 1.485783, 242.000000 
-10.544100, -30.916792, 46.623096, 1.592959, 988.611084 
-15.940311, 20.058826, -204.063324, 1.366771, 250.782455 
-26.134840, -10.630283, -203.483246, 1.946858, 231.832611 
0.979577, -42.638252, 32.006218, 1.311619, 673.510742 
6.410360, 24.138363, -204.194855, 1.235249, 237.976471 
40.036819, -0.747241, -204.115509, 1.314583, 317.497345 
-8.966749, -17.939659, -204.440430, 0.989668, 285.856079 
-6.098983, 54.744858, -204.308411, 1.121683, 241.080521 
1.865170, -22.983969, 51.116421, 1.533334, 862.507141 
-18.543173, -16.250717, 58.897060, 1.467836, 934.799988 
-1.839561, 18.408052, -203.525772, 1.904331, 374.038635 
23.198807, -35.127155, -204.366348, 1.063757, 403.629120 
21.884014, 8.171476, -204.176880, 1.253214, 273.514343 
-1.524660, -17.151731, 43.773884, 1.273109, 784.183594 
2.258614, -42.237957, 46.893932, 1.734879, 1149.186890 
-15.603281, 46.415569, -204.037994, 1.392099, 186.990585 
