x, y, z, size 
-86.444160, 23.863337, 409.302124, 1.626071, 846.935303 
-110.360390, 61.057732, 402.288147, 1.031570, 1042.055908 
35.330425, -26.703594, 298.611481, 1.846242, 1209.000000 
0.139763, -75.721191, 295.524933, 1.229608, 1098.805176 
-12.922529, 61.520554, 340.312805, 1.765593, 1235.669312 
-110.650352, -37.664295, 395.937866, 1.891064, 835.054565 
74.492447, 87.145195, 265.914307, 1.285689, 989.841248 
-97.775551, -65.526070, 321.136566, 1.307278, 996.951111 
-81.404694, -103.472145, 270.128143, 1.333287, 955.491394 
-47.299274, 54.237026, 318.554932, 1.701973, 1205.694458 
80.344643, 27.481163, 202.784241, 1.890894, 1332.347412 
-14.641834, 130.636383, 424.973083, 1.062541, 1139.854126 
-110.716431, 136.653168, 348.996796, 1.524568, 1203.968872 
112.991669, -140.118729, 354.888550, 1.631112, 1208.437866 
137.018341, -104.612572, 244.678299, 1.665319, 843.653503 
-45.083733, -91.213089, 397.394073, 0.962120, 1102.107544 
123.674980, 102.463280, 406.988220, 1.604078, 1548.906372 
-6.774435, 54.811550, 309.546326, 1.791903, 971.809204 
-73.511147, -86.636147, 423.125885, 1.165935, 967.786560 
-90.787941, 50.258377, 345.598297, 1.364625, 987.219543 
-54.033554, -20.487423, 277.919586, 1.485783, 1721.117676 
101.462151, 90.678787, 363.251556, 1.592959, 1909.400024 
-58.223373, 40.197735, 213.915802, 1.366771, 846.265503 
15.597798, -58.815041, 299.539551, 1.946858, 838.192322 
-57.811691, -62.891342, 328.763275, 1.311619, 982.832275 
32.941521, -7.405885, 267.093689, 1.235249, 972.637634 
25.370893, -43.327942, 280.809875, 1.314583, 830.152039 
2.979865, 99.434937, 179.455414, 0.989668, 1016.995239 
-38.127270, 48.560810, 158.288849, 1.121683, 974.468262 
89.426987, 2.432698, 300.089355, 1.533334, 976.482971 
-63.288193, -30.119625, 390.079468, 1.467836, 1238.375488 
-40.590717, 130.603836, 264.974304, 1.904331, 1118.245483 
1.285950, -23.812370, 250.332321, 1.063757, 1022.851990 
10.620132, 23.202211, 140.937439, 1.253214, 855.034790 
106.721230, 137.578827, 400.191254, 1.273109, 950.642456 
-5.150951, 45.863998, 269.522491, 1.734879, 986.304321 
57.963070, -144.898331, 283.208923, 1.392099, 851.998169 
-103.893867, 44.087318, 360.059998, 1.266382, 962.921753 
51.876942, 73.552567, 405.758972, 1.350348, 977.802856 
-42.721352, 136.961716, 386.018738, 1.394722, 970.760071 
-80.219704, -61.312119, 361.808258, 1.687846, 1207.068726 
118.132759, 33.949684, 329.328888, 1.555111, 1105.941895 
-67.291939, -33.386738, 300.198212, 1.190328, 1419.845215 
55.404140, 39.657913, 423.113037, 1.744553, 961.906250 
18.847633, 101.229065, 416.243683, 1.984380, 1337.533325 
-57.673363, -88.922653, 254.719360, 1.324822, 1204.679688 
-59.339401, -7.903833, 279.942169, 1.874960, 1671.197144 
-91.617867, 145.832611, 241.763275, 1.031655, 836.188477 
74.357735, 134.493286, 374.376770, 1.075137, 958.547363 
47.483501, 29.524323, 180.919846, 1.430844, 988.000000 
-25.887989, -11.100177, 228.366257, 1.565853, 825.791260 
-53.073486, 80.342278, 383.600098, 1.097973, 1435.997192 
21.564808, 153.932114, 409.477142, 1.752174, 1231.163818 
43.231880, 59.328148, 434.103912, 1.096107, 1078.650879 
-48.273518, -24.881882, 235.932159, 1.727905, 1108.918701 
-60.633942, -21.480152, 274.880585, 1.996332, 1088.641602 
99.338310, -42.616024, 414.714600, 1.848251, 1340.784424 
114.334351, 133.704269, 244.366379, 1.759994, 960.117737 
-124.879959, -20.785912, 350.542694, 1.932835, 828.519531 
50.078777, 83.780968, 317.831818, 0.967841, 834.002014 
113.510811, -83.439796, 298.959320, 1.573263, 827.400024 
53.926777, 25.305183, 225.419479, 1.552368, 832.858093 
126.102249, -60.684021, 430.271545, 1.366052, 959.947998 
102.162079, 74.230705, 335.908936, 1.600113, 822.713745 
31.816238, 15.123738, 172.014755, 1.928259, 1199.789795 
24.170464, -33.538090, 296.021027, 1.764819, 1233.625244 
36.384987, 75.695801, 399.395813, 1.340402, 1041.439575 
-18.459328, 121.578682, 267.866638, 1.886209, 1096.538330 
-45.488449, 56.246078, 309.345581, 1.913323, 1096.954102 
6.490013, 62.530499, 299.965363, 0.968735, 851.200073 
-72.693832, -105.406525, 396.738770, 1.885254, 1223.505493 
71.627701, -107.352661, 399.323547, 1.860940, 837.359314 
-28.290684, -108.183495, 338.728973, 1.636365, 957.129761 
52.885185, 141.340927, 397.443512, 1.579697, 1206.199097 
3.241351, 30.036669, 228.682465, 1.938692, 1110.200073 
142.892227, 62.953644, 352.901459, 1.724538, 1197.268311 
27.646465, -61.069717, 393.249603, 1.361705, 1077.859253 
-14.102217, -50.160702, 345.828064, 1.507985, 843.809204 
131.802917, 116.828636, 350.385620, 1.117895, 1871.250488 
-3.853131, -9.678008, 246.318710, 1.126740, 1092.632080 
-83.258041, 141.744278, 314.288727, 1.597899, 1085.061768 
-107.248138, -143.358505, 322.242645, 1.155462, 978.614685 
81.096771, 137.946854, 347.406006, 1.828471, 958.836670 
-8.071925, 53.266762, 240.244797, 1.730974, 830.162842 
121.753403, 13.600068, 404.891266, 1.430454, 1086.658569 
143.030548, -32.187496, 351.106598, 1.936696, 1234.310913 
132.103180, -5.080382, 269.397980, 0.980763, 951.145569 
-8.738684, 16.304333, 207.954956, 1.893256, 1096.533936 
-134.184464, -92.370178, 342.703827, 1.169820, 976.068848 
45.938560, -52.798271, 405.301758, 1.020778, 960.819336 
-4.708066, -33.954777, 228.231308, 1.881191, 1089.610962 
17.189804, -64.924782, 210.825821, 1.430847, 846.000000 
148.840057, 124.764641, 295.054657, 1.837465, 2146.838623 
126.432030, -80.938850, 355.011261, 1.079838, 1208.897461 
-15.834457, 44.420834, 121.352539, 0.992793, 985.381592 
0.123601, 66.843086, 241.618668, 1.619857, 845.727173 
106.923500, -99.389740, 342.433716, 1.561258, 857.115356 
19.688124, 103.234657, 314.433319, 1.830735, 859.724976 
53.031559, 97.063606, 319.133362, 1.119001, 1695.059937 
96.615479, 37.846592, 243.169754, 1.960700, 1210.314087 
53.624893, -79.950928, 396.680023, 1.520195, 833.632080 
-7.663452, 4.746833, 372.767761, 1.390199, 1117.993652 
108.403450, 30.339045, 262.081970, 1.076775, 829.310608 
15.221855, 44.826164, 336.053558, 1.555173, 830.701477 
-15.829269, 8.189006, 200.670593, 1.482838, 1081.210449 
3.754531, 27.271191, 296.428528, 1.829070, 856.400024 
13.473940, 148.532440, 326.938934, 1.355763, 861.464417 
-0.051019, 37.744797, 201.796295, 1.172522, 991.400391 
125.602104, -126.737213, 368.894501, 1.894479, 1328.414062 
27.553967, -26.605814, 207.429108, 1.755434, 971.600037 
119.174431, 89.349792, 297.151611, 1.038480, 825.230042 
