Rotor: R1-9x0d(90), Hopper: H0, RPM: 5.208333, Dose: 100.000000, Logger_Version: 0.2
x, y, z, size, die_time 
-40.591015, -16.947073, -98.923225, 1.076775, 617.542603 
-29.782806, -4.017113, -98.444824, 1.555173, 494.828430 
-10.234173, -19.093958, -98.517159, 1.482838, 648.869019 
-46.014217, -5.736326, -98.170937, 1.829070, 505.696594 
10.988323, -14.638426, -98.644241, 1.355763, 484.858887 
-31.915409, -25.375763, -98.827469, 1.172522, 623.737610 
-31.192425, -13.402122, -98.105530, 1.894479, 647.849792 
-34.659912, -16.886528, -98.244560, 1.755434, 641.376648 
40.037670, -14.137526, -98.961517, 1.038480, 482.082611 
-40.043861, -12.147325, -98.120438, 1.879562, 784.963928 
-5.112735, -7.634494, -98.671715, 1.328281, 487.986908 
-39.646641, -7.914352, -98.020340, 1.979657, 643.953613 
-36.827309, -11.004939, -98.341667, 1.658325, 637.463928 
-7.852887, -8.875257, -98.449379, 1.550627, 508.441528 
39.055767, -11.316597, -98.727371, 1.272641, 508.126740 
-31.992620, -6.401082, -98.122231, 1.877773, 795.079285 
-6.506569, -7.167154, -98.998619, 1.001378, 475.430054 
-30.334625, -6.238371, -98.160316, 1.839685, 503.935638 
-5.344728, -10.653928, -98.579872, 1.420124, 655.385010 
-59.295345, -10.428413, -99.018944, 0.981058, 619.340759 
-19.393623, -12.375961, -98.962479, 1.037526, 764.580688 
-41.822910, -21.861382, -98.061035, 1.938967, 494.252563 
-35.622974, -20.046804, -98.289215, 1.710787, 635.918457 
-30.012560, -9.605446, -98.050316, 1.949682, 505.030945 
14.597309, -8.052896, -98.935425, 1.064573, 638.820984 
-16.918631, -10.319399, -98.351723, 1.648278, 648.381165 
-45.509056, -5.031497, -98.161247, 1.838758, 787.919495 
-14.918129, -26.320509, -98.722618, 1.277381, 771.144287 
-41.936378, -4.990814, -98.108200, 1.891799, 985.060303 
-42.747913, -18.876011, -98.236885, 1.763110, 637.561157 
-26.381571, -13.460625, -98.358414, 1.641592, 498.680023 
-14.112309, -0.312174, -98.458221, 1.541778, 655.268066 
-41.349442, -26.355694, -98.447350, 1.552648, 776.475220 
28.349224, -6.373841, -98.703758, 1.296242, 503.308563 
3.335557, -15.229555, -98.996246, 1.003765, 763.684326 
-39.561047, -21.179062, -98.433411, 1.566590, 489.410706 
-39.590103, -12.565998, -98.060150, 1.939848, 794.288391 
26.406628, -9.347821, -98.768646, 1.231356, 652.426453 
-20.151457, -4.960058, -98.438583, 1.561422, 797.529907 
-43.312096, -12.018639, -98.077332, 1.922668, 500.554016 
-29.077604, -10.957627, -98.133667, 1.866343, 510.145630 
15.872585, -13.269742, -98.719681, 1.280320, 650.962891 
-33.412426, -17.898829, -98.052727, 1.947285, 786.930725 
-20.002583, -11.246719, -98.581802, 1.418191, 637.828552 
4.268557, -6.195735, -98.235931, 1.764075, 503.764099 
-21.489542, -18.543142, -98.848389, 1.151607, 473.613129 
-35.989769, -15.344012, -98.382584, 1.617424, 637.989075 
17.281933, -21.971920, -98.318520, 1.681483, 493.820435 
19.291019, -6.082764, -98.580902, 1.419092, 532.247620 
-33.944801, 0.709547, -98.810280, 1.189715, 620.530334 
-8.618817, -3.439241, -98.461678, 1.538316, 677.633118 
-12.991191, -15.022674, -98.203972, 1.796033, 499.568329 
-20.787361, -9.547632, -98.310402, 1.689597, 508.628387 
-24.360987, -28.678867, -98.655258, 1.344742, 485.029144 
27.344479, -26.328115, -98.949715, 1.050285, 772.995422 
