x, y, z, size 
133.005707, 134.886932, 266.964905, 1.626071, 941.400024 
-0.635436, -127.001389, 393.822083, 1.031570, 1013.292236 
-25.380024, -5.420228, 282.211121, 1.846242, 613.107666 
-67.996254, -96.480423, 194.614288, 1.229608, 1018.089844 
-26.283371, -6.742918, 380.552216, 1.765593, 737.405396 
-63.133621, -62.462326, 364.940582, 1.891064, 1256.427734 
5.197018, 142.073212, 277.848480, 1.285689, 533.892761 
144.280350, 132.645828, 372.020233, 1.307278, 375.600006 
-7.301169, -7.744340, 164.171295, 1.333287, 923.799988 
-102.209343, 88.368774, 247.171936, 1.701973, 2361.198486 
57.048264, 65.606842, 217.445648, 1.890894, 378.339233 
28.659517, 12.541638, 394.029297, 1.062541, 802.885803 
-102.370430, 107.344482, 416.399200, 1.524568, 879.739075 
92.027939, -146.748764, 383.075806, 1.631112, 780.280945 
54.588676, -138.595459, 328.895691, 1.665319, 776.595337 
112.560730, 135.268524, 330.455963, 0.962120, 322.559448 
102.832108, 90.734413, 421.106995, 1.604078, 1704.106445 
-95.433197, -86.717102, 212.312317, 1.791903, 2404.400146 
143.794769, -142.315155, 355.980591, 1.165935, 845.442261 
-118.242950, 73.866501, 372.459839, 1.364625, 697.400024 
-56.030357, 105.442116, 310.915222, 1.485783, 2554.919189 
-102.608696, -104.014191, 374.196869, 1.592959, 1309.799316 
-122.956161, 104.490623, 290.040771, 1.366771, 748.841187 
30.429586, 116.215370, 369.009186, 1.946858, 250.894135 
131.207550, -10.317179, 325.506531, 1.311619, 1757.157837 
2.847123, -56.900768, 285.584961, 1.235249, 881.200012 
35.852757, -63.927681, 283.366241, 1.314583, 984.157166 
-24.609762, 130.383896, 205.095215, 0.989668, 1104.625366 
-28.687817, 40.844837, 118.948303, 1.121683, 838.256042 
-68.906609, -62.590973, 302.579132, 1.533334, 1058.769287 
-72.800758, -153.922623, 346.498291, 1.467836, 819.398865 
43.926922, 17.363041, 282.910645, 1.904331, 923.406372 
-9.319874, 0.615066, 261.638489, 1.063757, 812.913086 
16.237383, 34.273670, 146.958145, 1.253214, 860.895752 
-96.519653, 109.504356, 330.510742, 1.273109, 832.173462 
29.501554, 16.450987, 203.962402, 1.734879, 859.401245 
-52.690365, -92.524712, 245.474136, 1.392099, 604.353455 
4.759088, -22.093422, 402.275848, 1.266382, 1847.532593 
102.229271, 52.600437, 419.638977, 1.350348, 2203.695801 
-32.138077, 9.070417, 377.876343, 1.394722, 911.180115 
74.219254, -126.639664, 314.774780, 1.687846, 917.169250 
90.126167, 11.076277, 298.350159, 1.555111, 893.749878 
-23.635624, -25.134453, 122.699219, 1.190328, 456.988190 
82.656837, 137.004395, 274.051910, 1.744553, 1044.271729 
12.912672, -72.798576, 433.205505, 1.984380, 896.967773 
97.042236, 3.220864, 384.024841, 1.324822, 1006.810791 
-51.923508, -2.963151, 408.249176, 1.874960, 2272.051758 
-13.153498, 62.527191, 362.689941, 1.031655, 387.030853 
-33.222042, -82.029793, 360.212280, 1.075137, 919.289490 
61.303112, 74.240379, 325.133728, 1.430844, 376.600006 
30.335335, 10.027212, 262.969482, 1.565853, 1824.599976 
10.463240, -145.128845, 373.960938, 1.097973, 1061.686646 
142.864288, 98.087898, 408.302734, 1.752174, 1094.445801 
-32.841274, 49.028278, 313.587189, 1.096107, 1818.959351 
-3.497305, -84.372665, 292.416687, 1.727905, 1178.625732 
-27.262253, 5.059223, 399.339783, 1.996332, 2430.283691 
-122.645859, -0.957556, 427.983124, 1.848251, 2220.770508 
143.483780, -142.068680, 406.578674, 1.759994, 1206.663696 
-113.583099, 0.276648, 408.658508, 1.932835, 560.137573 
-8.565944, 116.292809, 370.688110, 0.967841, 793.843750 
118.267090, -19.958895, 364.107330, 1.573263, 738.097290 
66.136971, -3.532446, 137.372528, 1.552368, 919.789246 
113.558708, 124.212402, 375.193420, 1.366052, 398.634796 
59.903259, 133.700394, 348.465332, 1.600113, 1388.205811 
19.075724, 33.961147, 159.282043, 1.928259, 2406.073730 
22.414968, -70.451012, 221.050629, 1.764819, 2113.965820 
88.812134, 63.103424, 369.625061, 1.340402, 766.500610 
81.619423, 143.831131, 389.468628, 1.886209, 285.680420 
-14.240784, 90.694077, 193.489044, 1.913323, 924.967163 
-21.732929, 39.034424, 221.034271, 0.968735, 906.690002 
32.341263, 66.846931, 379.226318, 1.885254, 633.921997 
132.798477, -110.133461, 253.550232, 1.860940, 1831.311890 
-1.901399, -138.957794, 326.799377, 1.636365, 767.254395 
108.211914, -136.746155, 279.923981, 1.579697, 321.231079 
12.870756, 84.133034, 283.141418, 1.938692, 770.875305 
-65.346741, 96.043999, 303.665405, 1.724538, 719.025146 
17.939659, 117.269958, 429.864502, 1.361705, 1476.948242 
143.656433, -22.080469, 330.062439, 1.507985, 764.274475 
-82.783943, -44.694920, 340.734314, 1.117895, 523.365540 
-61.185501, -50.788826, 364.613525, 1.126740, 1112.997070 
-50.365841, 26.503647, 232.846100, 1.597899, 931.422852 
-30.028675, -40.298023, 378.382538, 1.155462, 1233.819580 
102.761307, -31.683907, 346.086121, 1.828471, 1075.281738 
-22.075216, 32.211872, 400.352234, 1.730974, 2004.063354 
139.826508, -50.505619, 327.052490, 1.430454, 555.600037 
-111.476837, -152.752579, 295.842407, 1.936696, 2529.812500 
123.046593, -121.348671, 397.591370, 0.980763, 1177.520508 
-7.898538, 30.288565, 210.832703, 1.893256, 914.332275 
-95.174416, 40.388527, 312.055450, 1.169820, 700.535095 
-17.574650, -95.143295, 337.070221, 1.020778, 50001.218750 
22.847500, 31.082500, 152.242645, 1.881191, 1085.558472 
66.998550, -29.753777, 296.077911, 1.430847, 1623.356567 
-47.918293, 24.684616, 278.152222, 1.837465, 1206.200073 
-15.827791, -78.468506, 381.341919, 1.079838, 726.600037 
