Rotor: R2-9x120d(70), Hopper: H0, RPM: 4.629630, Dose: 100.000000, Logger_Version: 0.1
x, y, z, size, die_time 
-0.121734, 60.301929, 252.721268, 1.626071, 386.639465 
-43.280849, -37.955391, 360.862305, 1.031570, 425.826080 
36.549110, -19.861622, 251.125717, 1.846242, 382.285522 
42.014015, -61.593662, 232.599106, 1.229608, 531.508911 
12.310688, -46.764183, 326.524902, 1.765593, 504.779633 
-71.625572, -26.129244, 371.696350, 1.891064, 514.959961 
18.568726, 19.430798, 333.559937, 1.285689, 576.385498 
-34.196716, 30.532932, 276.585785, 1.307278, 177.758469 
-31.393250, -46.335789, 269.952850, 1.333287, 365.280426 
-1.579243, 60.212242, 378.193329, 1.701973, 366.669098 
7.011525, 3.261087, 103.099167, 1.890894, 723.165649 
47.937115, -23.567703, 431.075806, 1.062541, 310.063843 
-39.784889, 23.118879, 357.894653, 1.524568, 379.628754 
49.955353, 44.553589, 351.051239, 1.631112, 464.143890 
32.070896, -20.742062, 173.418701, 1.665319, 646.422974 
57.589603, -56.013409, 343.391785, 0.962120, 407.306000 
61.885059, 11.331161, 261.268097, 1.604078, 365.564331 
23.008141, 15.969734, 234.417160, 1.791903, 659.017944 
-1.236311, -21.600664, 289.195831, 1.165935, 196.642166 
-44.009602, -8.445954, 417.128876, 1.364625, 214.541870 
-7.438568, 15.028870, 215.059708, 1.485783, 188.504913 
-7.784017, -69.740425, 443.272461, 1.592959, 486.769012 
-22.998615, 4.504378, 259.534119, 1.366771, 393.738159 
-29.458237, 52.114471, 393.812500, 1.946858, 419.998322 
-63.223461, -28.024349, 396.387207, 1.311619, 334.218903 
-22.599323, -28.645895, 254.915070, 1.235249, 191.390656 
20.949768, -53.413429, 314.804443, 1.314583, 437.251892 
-41.209282, 36.738400, 301.881531, 0.989668, 160.642700 
-43.685562, -23.521770, 192.484940, 1.121683, 130.895493 
-46.920444, -31.128588, 372.374969, 1.533334, 369.263489 
16.171680, -69.079773, 340.602112, 1.467836, 456.888458 
25.513344, 64.836861, 348.873016, 1.904331, 706.705933 
0.695919, 4.742149, 107.630692, 1.063757, 307.212982 
-19.190727, -9.994728, 144.572632, 1.253214, 193.181335 
35.037891, 19.301733, 402.634491, 1.273109, 538.744263 
-38.933849, -49.933979, 184.081024, 1.734879, 228.744064 
50.462524, -26.409039, 364.930115, 1.392099, 198.655563 
-43.838135, -60.344398, 314.685730, 1.266382, 197.776184 
74.811569, 8.273888, 329.523956, 1.350348, 371.652496 
-47.181839, -57.481537, 443.956390, 1.394722, 345.563141 
36.230350, -51.991062, 381.786377, 1.687846, 513.564514 
-77.026955, 42.484562, 367.035004, 1.555111, 520.232666 
8.130592, -0.954894, 128.725403, 1.190328, 434.482849 
-23.527672, 71.700378, 377.718536, 1.744553, 404.223297 
27.355503, 34.527634, 248.685272, 1.984380, 377.642639 
-42.561069, -33.469902, 215.360779, 1.324822, 358.261932 
-57.949100, 35.230961, 277.055969, 1.874960, 225.166763 
-11.815723, 52.995342, 329.998779, 1.031655, 400.698151 
60.397591, -57.187904, 415.852356, 1.075137, 300.995270 
39.909374, -11.098083, 139.411743, 1.430844, 455.536469 
42.783817, -12.499825, 261.661041, 1.565853, 497.009491 
-53.062927, -39.350113, 339.125946, 1.097973, 366.134277 
-16.558998, -36.560661, 368.737183, 1.752174, 396.811157 
47.633244, 10.626110, 410.125244, 1.096107, 506.024811 
-2.876458, 11.695429, 174.551575, 1.727905, 550.005127 
0.916078, 11.667450, 393.506378, 1.996332, 514.448303 
-37.882210, 51.674026, 340.206512, 1.848251, 316.196838 
34.371082, -48.054764, 213.192215, 1.759994, 630.126160 
-1.378282, 53.582596, 412.128296, 1.932835, 627.205750 
33.658272, 52.394444, 327.387238, 0.967841, 399.833405 
37.841614, 60.293339, 419.265564, 1.573263, 454.037262 
41.919205, -19.435253, 117.474777, 1.552368, 473.477539 
36.832481, 1.127650, 338.308167, 1.366052, 556.212769 
33.170776, 12.725883, 400.035217, 1.600113, 588.501160 
-35.584743, 18.873432, 213.963684, 1.928259, 428.094727 
27.475090, -15.048973, 181.980423, 1.764819, 703.194885 
79.784256, 72.435547, 240.257156, 1.340402, 451.573578 
13.167356, 18.003468, 340.326172, 1.886209, 402.341919 
39.456169, 11.867949, 252.203827, 1.913323, 650.578186 
51.542461, 10.611361, 279.008881, 0.968735, 500.391632 
-22.525990, -54.765491, 300.854156, 1.885254, 407.555847 
40.115395, -4.598068, 440.988708, 1.860940, 567.822937 
-56.896103, -4.481998, 340.207489, 1.636365, 132.562836 
20.696182, -7.167303, 230.048462, 1.579697, 381.082397 
-29.005859, 9.852346, 216.335617, 1.938692, 410.828491 
88.100639, 67.002342, 414.161194, 1.724538, 643.938354 
43.984093, 70.056404, 256.757263, 1.361705, 444.757263 
-15.382752, -6.639804, 364.336609, 1.507985, 549.284180 
-18.138489, -22.466606, 259.491150, 1.117895, 183.818405 
-75.817673, -54.398464, 364.186066, 1.126740, 310.749115 
-63.126331, 30.826563, 220.077164, 1.597899, 401.503540 
-25.104809, 22.164589, 295.099243, 1.155462, 371.327850 
30.119625, 7.293799, 386.740173, 1.828471, 618.682800 
-81.733444, 4.767236, 211.055527, 1.730974, 390.229004 
32.927620, -65.672333, 443.600281, 1.430454, 444.007629 
-57.993553, -70.907242, 252.397018, 1.936696, 422.446136 
-24.727974, -21.750933, 221.296082, 0.980763, 184.858200 
6.510881, -15.282091, 153.870026, 1.893256, 473.979706 
-40.690208, 52.848537, 419.380371, 1.169820, 232.383163 
-68.506897, -40.818245, 407.967072, 1.020778, 299.690155 
-8.653199, -16.407423, 257.191589, 1.881191, 287.748596 
-21.524734, -50.939350, 211.416992, 1.430847, 358.786469 
31.600605, 52.601028, 321.689362, 1.837465, 615.593811 
34.001205, -20.220016, 362.793427, 1.079838, 550.342896 
8.644129, -5.779333, 126.895592, 0.992793, 292.808502 
-11.301307, 5.060857, 399.204285, 1.619857, 383.957794 
-38.233212, 61.070072, 331.158356, 1.561258, 239.226105 
78.353668, 22.488956, 273.138672, 1.830735, 494.895599 
57.102688, -36.750145, 368.340759, 1.119001, 302.129303 
29.921070, -19.505117, 198.170761, 1.960700, 523.383545 
49.428860, 37.506565, 312.230042, 1.520195, 455.970520 
9.590443, 63.639305, 361.150940, 1.390199, 329.947632 
26.188202, -9.332004, -98.923225, 1.076775, 298.015900 
23.027691, 0.155742, -98.444824, 1.555173, 392.160309 
47.443542, -0.355434, -98.517166, 1.482838, 445.376282 
40.790138, 0.590959, -98.170929, 1.829070, 250.357880 
34.015282, -1.428419, -98.644234, 1.355763, 337.303741 
37.550705, 16.006577, -98.827477, 1.172522, 375.731018 
18.943153, -3.063394, -98.105522, 1.894479, 404.614960 
6.718240, -8.511240, -98.244568, 1.755434, 675.667419 
24.320557, 8.948734, -98.961517, 1.038480, 309.828552 
43.613079, 12.034922, -98.120438, 1.879562, 605.628601 
26.558701, -16.445194, -98.671722, 1.328281, 320.649353 
-12.528048, -11.051971, -98.020340, 1.979657, 603.653381 
47.781136, 0.912414, -98.341675, 1.658325, 456.192383 
