x, y, z, size 
-86.444160, 23.863337, 409.302124, 1.626071, 1292.223022 
-110.360390, 61.057732, 402.288147, 1.031570, 366.190033 
35.330425, -26.703594, 298.611481, 1.846242, 1864.894287 
0.139763, -75.721191, 295.524933, 1.229608, 895.504089 
-12.922529, 61.520554, 340.312805, 1.765593, 685.442871 
-110.650352, -37.664295, 395.937866, 1.891064, 332.619659 
74.492447, 87.145195, 265.914307, 1.285689, 441.973450 
-97.775551, -65.526070, 321.136566, 1.307278, 585.102112 
-81.404694, -103.472145, 270.128143, 1.333287, 1120.800049 
-47.299274, 54.237026, 318.554932, 1.701973, 694.167480 
80.344643, 27.481163, 202.784241, 1.890894, 878.023193 
-14.641834, 130.636383, 424.973083, 1.062541, 904.187500 
-110.716431, 136.653168, 348.996796, 1.524568, 844.952942 
112.991669, -140.118729, 354.888550, 1.631112, 1861.640503 
137.018341, -104.612572, 244.678299, 1.665319, 736.550354 
-45.083733, -91.213089, 397.394073, 0.962120, 1307.719238 
123.674980, 102.463280, 406.988220, 1.604078, 1369.498535 
-6.774435, 54.811550, 309.546326, 1.791903, 548.910156 
-73.511147, -86.636147, 423.125885, 1.165935, 1194.565674 
-90.787941, 50.258377, 345.598297, 1.364625, 917.393433 
-54.033554, -20.487423, 277.919586, 1.485783, 539.419556 
101.462151, 90.678787, 363.251556, 1.592959, 1264.800049 
-58.223373, 40.197735, 213.915802, 1.366771, 699.221252 
15.597798, -58.815041, 299.539551, 1.946858, 1836.500122 
-57.811691, -62.891342, 328.763275, 1.311619, 1219.443481 
32.941521, -7.405885, 267.093689, 1.235249, 1010.200012 
25.370893, -43.327942, 280.809875, 1.314583, 895.388977 
2.979865, 99.434937, 179.455414, 0.989668, 605.084412 
-38.127270, 48.560810, 158.288849, 1.121683, 578.343445 
89.426987, 2.432698, 300.089355, 1.533334, 740.011353 
-63.288193, -30.119625, 390.079468, 1.467836, 858.323914 
-40.590717, 130.603836, 264.974304, 1.904331, 549.883545 
1.285950, -23.812370, 250.332321, 1.063757, 975.311035 
10.620132, 23.202211, 140.937439, 1.253214, 896.322327 
106.721230, 137.578827, 400.191254, 1.273109, 530.454468 
-5.150951, 45.863998, 269.522491, 1.734879, 720.339783 
57.963070, -144.898331, 283.208923, 1.392099, 690.854370 
-103.893867, 44.087318, 360.059998, 1.266382, 878.738586 
51.876942, 73.552567, 405.758972, 1.350348, 344.329620 
-42.721352, 136.961716, 386.018738, 1.394722, 633.421265 
-80.219704, -61.312119, 361.808258, 1.687846, 895.237549 
118.132759, 33.949684, 329.328888, 1.555111, 878.344360 
