x, y, z, size 
7.719445, -20.201708, 33.703964, 1.626071, 1263.599976 
-27.587664, -41.151810, 51.204884, 1.031570, 50001.003906 
11.806365, 0.816708, 69.337486, 1.846242, 50001.003906 
23.399096, -30.006161, 16.976749, 1.229608, 1063.515869 
-17.680557, -11.600289, -203.664520, 1.765593, 683.257507 
-20.561211, -42.073734, 48.819817, 1.891064, 50001.011719 
6.825950, 62.375145, -204.144409, 1.285689, 567.507507 
113.132439, 89.368904, 112.469383, 1.307278, 50001.015625 
-12.150079, 47.156277, -204.096817, 1.333287, 550.631348 
-16.457121, -30.919025, 51.286633, 1.701973, 50001.023438 
-17.013731, -17.222242, -203.539215, 1.890894, 713.039185 
-14.018343, 40.333706, -204.367569, 1.062541, 552.063538 
-25.180996, 0.724421, 60.039490, 1.524568, 50001.031250 
28.696354, -35.493938, -11.113780, 1.631112, 880.673523 
-13.198800, -10.163286, 40.934135, 1.665319, 50001.035156 
26.909994, -37.851944, 50.715202, 0.962120, 50001.035156 
-11.972866, -21.731886, 73.795532, 1.604078, 50001.039062 
-17.482933, -27.601999, 54.865013, 1.791903, 50001.042969 
25.667572, 33.775555, -13.012920, 1.165935, 978.799988 
-17.592205, 41.114033, 45.852852, 1.364625, 1897.732056 
7.659883, -25.439350, -57.782578, 1.485783, 819.509705 
0.973116, -36.717571, 32.146362, 1.592959, 50001.050781 
-32.032856, 13.271775, 54.144455, 1.366771, 50001.054688 
-23.816109, -40.509972, 52.321438, 1.946858, 50001.054688 
34.188828, 15.574053, -204.118484, 1.311619, 596.346497 
-14.974899, 42.425167, -204.194855, 1.235249, 490.865448 
1.362417, 67.915253, -204.115509, 1.314583, 568.164978 
25.893160, -42.807667, 22.711563, 0.989668, 1284.656494 
-18.435574, -8.437424, -204.308411, 1.121683, 489.961029 
6.004981, -33.501762, 36.433300, 1.533334, 1408.029541 
21.391554, -32.349041, 19.805643, 1.467836, 1071.824341 
19.678528, -41.634045, 28.050409, 1.904331, 1317.800049 
5.410092, -34.764389, -67.746445, 1.063757, 792.090210 
-9.164138, 6.947587, -204.176880, 1.253214, 510.772552 
-21.700592, -1.857023, 46.734180, 1.273109, 1936.043823 
-6.163768, -39.761482, 31.518625, 1.734879, 1335.584839 
5.854063, -37.844486, 67.034256, 1.392099, 50001.089844 
16.788937, -10.442170, 62.694820, 1.266382, 50001.089844 
-1.975579, -42.562710, 43.148827, 1.350348, 50001.093750 
-10.558586, 49.349243, -204.035370, 1.394722, 527.945129 
25.253014, -27.134768, -14.635378, 1.687846, 852.900940 
-8.052078, -34.939041, 67.353516, 1.555111, 50001.101562 
-41.924438, 27.620319, -69443.992188, 1.190328, 50001.101562 
29.186352, 3.366905, 4.109739, 1.744553, 1002.778137 
-18.155434, -39.611298, 42.069710, 1.984380, 50001.109375 
25.802502, -36.318298, -12.937537, 1.324822, 888.135620 
29.540703, -39.485157, -0.307252, 1.874960, 906.280640 
-5.331218, -9.749743, -204.398438, 1.031655, 663.530396 
7.860959, 25.979685, -58.614128, 1.075137, 807.400024 
50.816010, 3.749707, -204.576447, 1.430844, 611.200012 
-23.066439, -16.417967, 49.188770, 1.565853, 50001.121094 
6.206455, 31.148102, -64.631859, 1.097973, 785.608643 
20.021631, -36.591137, 24.733313, 1.752174, 1108.524414 
-16.739630, -10.313631, -204.333984, 1.096107, 593.863708 
-12.322888, -27.313667, 66.730118, 1.727905, 50001.132812 
-14.010802, 8.337655, -203.433777, 1.996332, 560.156860 
-21.722954, -26.667131, 67.655022, 1.848251, 50001.136719 
6.720816, -23.250341, 30.973896, 1.759994, 50001.140625 
2.731111, 41.946930, -203.745117, 1.932835, 421.600006 
6.514078, 25.056627, -64.020897, 0.967841, 798.226196 
12.834078, -35.638935, 69.159790, 1.573263, 50001.148438 
-6.612002, 45.095673, -205.997299, 1.552368, 552.600037 
2.068432, 16.240612, -193.892654, 1.366052, 758.649902 
12.375015, -33.154827, -39.858238, 1.600113, 867.827148 
19.670580, -0.535654, -203.501831, 1.928259, 577.318726 
-20.057213, 5.535674, -203.665283, 1.764819, 559.614502 
35.322685, 28.937510, -0.642678, 1.340402, 949.491028 
20.466631, -39.332798, 73.099693, 1.886209, 50001.164062 
-18.414351, -42.059364, 47.073971, 1.913323, 50001.167969 
13.501862, 28.516302, -26.021746, 0.968735, 779.773743 
-7.773610, -12.995043, -203.544861, 1.885254, 677.276794 
-20.898510, -23.233492, 46.608566, 1.860940, 50001.175781 
-43.118347, 41.734100, -203.793732, 1.636365, 584.766541 
33.380318, -32.920712, -10.480885, 1.579697, 1037.712280 
-54.650623, -9.913147, -203.491409, 1.938692, 713.013000 
-15.485200, -39.688606, 48.667164, 1.724538, 50001.183594 
-5.386939, -30.762651, 32.506962, 1.361705, 1302.378418 
-18.672060, -19.089855, 60.941330, 1.507985, 50001.187500 
3.489253, 25.537354, -204.312195, 1.117895, 407.240173 
-15.322063, 22.953306, 32.239449, 1.126740, 50001.195312 
5.712826, 26.135294, -203.832199, 1.597899, 569.222290 
1.683892, 39.262230, -204.274628, 1.155462, 565.143982 
-14.471663, -38.495541, 40.169292, 1.828471, 50001.199219 
27.907442, -39.085098, -8.768658, 1.730974, 894.175293 
30.076527, -11.355024, 8.789678, 1.430454, 1030.666626 
-14.054618, -41.860100, 39.383728, 1.936696, 50001.207031 
19.939026, 16.244892, 43.072136, 0.980763, 1453.855835 
-16.802834, -41.987289, 44.658867, 1.893256, 50001.214844 
26.860340, 31.210749, -12.510803, 1.169820, 1007.180298 
11.560719, 46.477997, -204.409332, 1.020778, 577.883301 
-15.363870, -34.079094, 51.118687, 1.881191, 50001.218750 
-19.748789, -15.042717, 23.725815, 1.430847, 1732.035645 
-9.566438, -42.132999, 47.650883, 1.837465, 50001.226562 
