x, y, z, size 
102.785957, 157.166779, 238.401169, 1.626071, 450.283936 
-15.745329, 7.068604, 286.248230, 1.031570, 449.044250 
-34.072910, -113.401985, 248.041061, 1.846242, 439.000000 
-30.923630, 2.205811, 184.086792, 1.229608, 378.203827 
113.488533, 111.050911, 392.670868, 1.765593, 509.601898 
-54.623466, -12.744864, 396.719788, 1.891064, 392.676544 
-58.634781, 146.547653, 342.875488, 1.285689, 739.874939 
-131.709457, 75.875893, 419.919495, 1.307278, 534.795654 
-92.766243, -53.030113, 314.900024, 1.333287, 375.800018 
-20.319841, 29.471857, 258.033264, 1.701973, 445.995850 
78.563385, 44.264816, 200.189362, 1.890894, 442.779846 
36.355362, 155.945343, 405.414917, 1.062541, 445.347931 
-56.894730, -104.164688, 346.722992, 1.524568, 436.840424 
39.115044, -110.644272, 401.781433, 1.631112, 761.525330 
46.084026, 4.578945, 116.253372, 1.665319, 378.200012 
-86.726578, -119.438034, 348.195129, 0.962120, 605.423218 
130.473419, -40.867126, 343.467407, 1.604078, 436.612305 
-47.377831, 111.550453, 322.194214, 1.791903, 448.923157 
95.593254, -133.843277, 246.568787, 1.165935, 447.394135 
-77.298210, 3.057419, 433.538269, 1.364625, 764.561340 
20.017704, 38.477264, 212.321808, 1.485783, 556.200012 
-11.249208, -6.044886, 347.580261, 1.592959, 390.486755 
34.450954, 43.972198, 260.912903, 1.366771, 392.771576 
-12.215101, 161.807861, 335.339783, 1.946858, 439.667053 
-131.668335, -64.664940, 330.128479, 1.311619, 685.529602 
-18.613279, 43.976479, 132.629013, 1.235249, 460.846558 
62.309204, 136.550720, 393.287537, 1.314583, 728.507080 
-58.417595, 90.365341, 194.126923, 0.989668, 405.657745 
-41.510052, 80.569603, 250.858841, 1.121683, 552.792847 
125.355179, 156.716721, 430.554688, 1.533334, 683.408325 
-121.636597, -10.518921, 416.548096, 1.467836, 387.480499 
-89.480385, 144.716324, 296.212250, 1.904331, 443.000000 
7.917022, -13.912422, 199.465607, 1.063757, 447.138519 
-8.250642, 6.927512, 214.512238, 1.253214, 448.562378 
-119.152885, -54.950512, 417.808655, 1.273109, 680.567444 
-41.827099, 29.060822, 326.527435, 1.734879, 448.968597 
-100.684410, -7.183032, 328.155426, 1.392099, 538.961426 
-19.341665, -5.582060, 244.419052, 1.266382, 445.584869 
-94.044983, 4.959005, 343.566040, 1.350348, 598.875488 
-63.881065, 102.257156, 382.041016, 1.394722, 433.420197 
-51.165436, -122.454643, 313.456024, 1.687846, 384.061005 
63.087791, 131.448547, 335.871063, 1.555111, 595.943604 
-17.942743, -1.704588, 169.125565, 1.190328, 448.836121 
27.400944, 88.019745, 361.619690, 1.744553, 586.950806 
96.598289, 141.796127, 344.355286, 1.984380, 730.786438 
-133.328201, -55.942261, 368.011536, 1.324822, 775.761475 
-73.245850, 115.833473, 385.987152, 1.874960, 494.834930 
7.285137, -86.422882, 408.874817, 1.031655, 792.655151 
144.810944, -70.995255, 381.204285, 1.075137, 2001.180054 
122.138107, 58.498085, 203.598724, 1.430844, 444.386505 
68.674049, -123.444748, 209.888123, 1.565853, 488.401520 
-3.246134, -38.751488, 427.096252, 1.097973, 503.161041 
11.794155, 85.903854, 323.173126, 1.752174, 378.838409 
-88.373802, 149.267471, 271.055573, 1.096107, 433.953339 
16.621300, -25.246300, 299.994476, 1.727905, 375.960083 
-57.518311, 39.929482, 351.359711, 1.996332, 392.476746 
-8.213555, -83.183098, 410.657898, 1.848251, 451.167450 
58.276291, -56.757603, 424.758118, 1.759994, 384.010132 
-132.537354, 135.118027, 341.034790, 1.932835, 551.197388 
-58.081490, 6.638946, 301.835541, 0.967841, 652.435913 
142.685028, -130.347458, 299.763794, 1.573263, 775.621521 
52.423103, -6.463006, 237.498886, 1.552368, 543.591064 
104.256416, 150.435623, 322.256836, 1.366052, 694.498962 
126.606918, 158.457993, 305.288422, 1.600113, 389.927948 
-11.328722, -1.390012, 171.126587, 1.928259, 446.378326 
51.946198, 12.579244, 288.494781, 1.764819, 499.041168 
-89.203751, 117.999069, 397.825623, 1.340402, 447.576233 
-126.965424, 88.868279, 390.525238, 1.886209, 429.900391 
-20.681623, 122.023727, 203.864761, 1.913323, 448.309692 
87.083984, -42.618389, 235.409149, 0.968735, 458.835693 
59.950634, 33.758427, 370.936829, 1.885254, 503.376678 
14.082701, -36.393116, 400.785217, 1.860940, 386.648407 
-59.723404, 101.640045, 356.785645, 1.636365, 502.560974 
132.208908, -110.754349, 250.239624, 1.579697, 685.641113 
-63.659325, 61.942627, 166.479645, 1.938692, 504.600006 
92.273552, 87.788330, 401.475800, 1.724538, 689.907837 
71.140213, 136.087891, 251.226166, 1.361705, 389.716339 
21.591461, -131.537674, 366.926331, 1.507985, 376.084503 
-78.447540, 153.939758, 356.798584, 1.117895, 499.719360 
-19.410826, -100.616333, 429.394836, 1.126740, 496.696167 
-49.443581, -0.336661, 290.983612, 1.597899, 681.001953 
-92.721016, 124.935783, 261.288849, 1.155462, 524.799988 
76.521576, -26.827984, 247.181351, 1.828471, 389.399994 
-35.594402, -77.629143, 312.884766, 1.730974, 447.450439 
120.814522, -125.564865, 246.096161, 1.430454, 685.760132 
97.529739, -138.248703, 393.858795, 1.936696, 696.557007 
38.743279, -53.045437, 325.097168, 0.980763, 449.236084 
44.933899, 4.194180, 199.216553, 1.893256, 451.021698 
-58.577812, -150.910431, 377.825378, 1.169820, 590.513062 
83.821915, 140.517700, 427.586517, 1.020778, 548.488831 
-4.169319, 48.396496, 197.591934, 1.881191, 437.502289 
-71.995232, -89.684219, 167.088776, 1.430847, 449.570496 
57.831589, 42.049076, 375.332550, 1.837465, 385.178253 
-125.858856, -19.070196, 282.774689, 1.079838, 432.659027 
41.959080, -3.618184, 288.472992, 0.992793, 599.160767 
-103.994186, 20.336378, 426.829834, 1.619857, 485.529785 
-131.433487, 154.865402, 333.388672, 1.561258, 548.502808 
111.806572, -59.534588, 279.046509, 1.830735, 387.880981 
49.476669, 121.585922, 400.883881, 1.119001, 384.595642 
-21.316027, -19.047531, 194.501984, 1.960700, 490.906525 
-112.667625, 143.448959, 351.735931, 1.520195, 507.940460 
142.465210, -140.111099, 352.881409, 1.390199, 980.203369 
83.489799, -18.959885, 386.875061, 1.076775, 498.163910 
-55.038437, 104.373047, 383.915436, 1.555173, 490.565857 
78.273155, 74.667000, 262.359131, 1.482838, 393.889343 
-26.741852, -78.246254, 325.512421, 1.829070, 388.960663 
102.587776, 19.719280, 410.250732, 1.355763, 376.059143 
77.490562, 69.424843, 192.969864, 1.172522, 436.493134 
31.412268, -68.820251, 251.205505, 1.894479, 375.949158 
-17.942686, 45.143597, 196.112625, 1.755434, 764.730530 
65.689819, 88.262207, 417.556366, 1.038480, 817.854370 
-24.746120, -57.022198, 412.109741, 1.879562, 492.826050 
-65.412521, -83.671654, 429.867432, 1.328281, 505.993774 
-102.541817, -27.489309, 289.602478, 1.979657, 385.018982 
12.568682, -44.659405, 223.401993, 1.658325, 373.600006 
6.896953, 11.340784, 242.869034, 1.550627, 386.779663 
148.135391, -113.994156, 382.830231, 1.272641, 646.794739 
19.408064, -123.867851, 384.408691, 1.877773, 386.936005 
88.099426, -19.929764, 387.971008, 1.001378, 2001.442627 
-40.639862, 123.547302, 402.215759, 1.839685, 450.148682 
31.911074, 32.027542, 164.468262, 1.420124, 388.570557 
17.955692, -13.405935, 363.198151, 0.981058, 374.472076 
85.007614, -87.150063, 309.431854, 1.037526, 627.670044 
68.581207, 12.049675, 272.042084, 1.938967, 502.018646 
148.122559, -85.805794, 389.520599, 1.710787, 719.247009 
126.577187, 156.209930, 417.063110, 1.949682, 732.506775 
-83.180717, -153.224594, 395.260620, 1.064573, 2001.472656 
147.424240, 46.144753, 313.279358, 1.648278, 483.601318 
-0.878442, -8.414080, 233.071106, 1.838758, 387.707428 
3.914575, 39.250282, 118.694733, 1.277381, 445.630402 
-11.374327, 37.323879, 196.542572, 1.891799, 445.046204 
60.638481, 27.720766, 220.038437, 1.763110, 445.164093 
35.838539, 32.815029, 411.834442, 1.641592, 443.696381 
-74.818336, 136.848236, 415.188660, 1.541778, 544.368835 
-23.571529, 47.643291, 330.839722, 1.552648, 378.658936 
-75.687851, -112.649895, 431.600037, 1.296242, 548.827942 
