Rotor: R1-9x0d(80), Hopper: H0, RPM: 2.815315, Dose: 100.000000, Logger_Version: 0.1
x, y, z, size, die_time 
-0.121734, 60.301929, 252.721268, 1.626071, 442.081085 
-43.280849, -37.955391, 360.862305, 1.031570, 560.474915 
36.549110, -19.861622, 251.125717, 1.846242, 447.369812 
42.014015, -61.593662, 232.599106, 1.229608, 568.788025 
12.310688, -46.764183, 326.524902, 1.765593, 584.328064 
-71.625572, -26.129244, 371.696350, 1.891064, 607.040894 
18.568726, 19.430798, 333.559937, 1.285689, 565.641296 
-34.196716, 30.532932, 276.585785, 1.307278, 563.980774 
-31.393250, -46.335789, 269.952850, 1.333287, 552.643616 
-1.579243, 60.212242, 378.193329, 1.701973, 607.804504 
7.011525, 3.261087, 103.099167, 1.890894, 703.228088 
47.937115, -23.567703, 431.075806, 1.062541, 424.829041 
-39.784889, 23.118879, 357.894653, 1.524568, 567.193787 
49.955353, 44.553589, 351.051239, 1.631112, 573.415833 
32.070896, -20.742062, 173.418701, 1.665319, 451.906036 
57.589603, -56.013409, 343.391785, 0.962120, 428.131805 
61.885059, 11.331161, 261.268097, 1.604078, 576.209106 
23.008141, 15.969734, 234.417160, 1.791903, 640.339539 
-1.236311, -21.600664, 289.195831, 1.165935, 429.764282 
-44.009602, -8.445954, 417.128876, 1.364625, 434.290070 
-7.438568, 15.028870, 215.059708, 1.485783, 558.242065 
-7.784017, -69.740425, 443.272461, 1.592959, 443.052032 
-22.998615, 4.504378, 259.534119, 1.366771, 562.068542 
-29.458237, 52.114471, 393.812500, 1.946858, 714.200256 
-63.223461, -28.024349, 396.387207, 1.311619, 437.047058 
-22.599323, -28.645895, 254.915070, 1.235249, 683.882324 
20.949768, -53.413429, 314.804443, 1.314583, 567.656616 
-41.209282, 36.738400, 301.881531, 0.989668, 431.932190 
-43.685562, -23.521770, 192.484940, 1.121683, 438.087280 
-46.920444, -31.128588, 372.374969, 1.533334, 575.166809 
16.171680, -69.079773, 340.602112, 1.467836, 572.987183 
25.513344, 64.836861, 348.873016, 1.904331, 639.774536 
0.695919, 4.742149, 107.630692, 1.063757, 553.497375 
-19.190727, -9.994728, 144.572632, 1.253214, 426.515656 
35.037891, 19.301733, 402.634491, 1.273109, 570.634521 
-38.933849, -49.933979, 184.081024, 1.734879, 582.831421 
