x, y, z, size 
102.785957, 157.166779, 238.401169, 1.626071, 986.138733 
-15.745329, 7.068604, 286.248230, 1.031570, 758.941711 
-34.072910, -113.401985, 248.041061, 1.846242, 765.590515 
-30.923630, 2.205811, 184.086792, 1.229608, 615.066711 
113.488533, 111.050911, 392.670868, 1.765593, 756.375244 
-54.623466, -12.744864, 396.719788, 1.891064, 635.438965 
-58.634781, 146.547653, 342.875488, 1.285689, 643.565674 
-131.709457, 75.875893, 419.919495, 1.307278, 2001.026245 
-92.766243, -53.030113, 314.900024, 1.333287, 629.693665 
-20.319841, 29.471857, 258.033264, 1.701973, 851.232788 
78.563385, 44.264816, 200.189362, 1.890894, 864.465759 
36.355362, 155.945343, 405.414917, 1.062541, 698.852051 
-56.894730, -104.164688, 346.722992, 1.524568, 641.782166 
39.115044, -110.644272, 401.781433, 1.631112, 2001.048706 
46.084026, 4.578945, 116.253372, 1.665319, 637.435242 
-86.726578, -119.438034, 348.195129, 0.962120, 1113.534180 
130.473419, -40.867126, 343.467407, 1.604078, 759.691406 
-47.377831, 111.550453, 322.194214, 1.791903, 855.350403 
95.593254, -133.843277, 246.568787, 1.165935, 633.559753 
-77.298210, 3.057419, 433.538269, 1.364625, 2001.071289 
20.017704, 38.477264, 212.321808, 1.485783, 858.600037 
-11.249208, -6.044886, 347.580261, 1.592959, 640.907471 
34.450954, 43.972198, 260.912903, 1.366771, 646.982849 
-12.215101, 161.807861, 335.339783, 1.946858, 869.814514 
-131.668335, -64.664940, 330.128479, 1.311619, 718.715942 
-18.613279, 43.976479, 132.629013, 1.235249, 770.557068 
62.309204, 136.550720, 393.287537, 1.314583, 2001.097534 
-58.417595, 90.365341, 194.126923, 0.989668, 612.196899 
-41.510052, 80.569603, 250.858841, 1.121683, 766.782837 
125.355179, 156.716721, 430.554688, 1.533334, 1303.908936 
-121.636597, -10.518921, 416.548096, 1.467836, 642.125061 
-89.480385, 144.716324, 296.212250, 1.904331, 626.161987 
7.917022, -13.912422, 199.465607, 1.063757, 763.135925 
-8.250642, 6.927512, 214.512238, 1.253214, 752.991577 
-119.152885, -54.950512, 417.808655, 1.273109, 2001.127563 
-41.827099, 29.060822, 326.527435, 1.734879, 740.319031 
-100.684410, -7.183032, 328.155426, 1.392099, 649.334778 
-19.341665, -5.582060, 244.419052, 1.266382, 756.411255 
-94.044983, 4.959005, 343.566040, 1.350348, 634.579102 
-63.881065, 102.257156, 382.041016, 1.394722, 757.100830 
-51.165436, -122.454643, 313.456024, 1.687846, 1107.273315 
63.087791, 131.448547, 335.871063, 1.555111, 1263.000000 
-17.942743, -1.704588, 169.125565, 1.190328, 750.941650 
27.400944, 88.019745, 361.619690, 1.744553, 753.790039 
96.598289, 141.796127, 344.355286, 1.984380, 1115.003784 
-133.328201, -55.942261, 368.011536, 1.324822, 2001.168823 
-73.245850, 115.833473, 385.987152, 1.874960, 2001.172485 
7.285137, -86.422882, 408.874817, 1.031655, 956.455444 
144.810944, -70.995255, 381.204285, 1.075137, 2001.180054 
122.138107, 58.498085, 203.598724, 1.430844, 745.306396 
68.674049, -123.444748, 209.888123, 1.565853, 731.574219 
-3.246134, -38.751488, 427.096252, 1.097973, 1237.248169 
11.794155, 85.903854, 323.173126, 1.752174, 645.835266 
-88.373802, 149.267471, 271.055573, 1.096107, 902.650024 
16.621300, -25.246300, 299.994476, 1.727905, 641.226807 
-57.518311, 39.929482, 351.359711, 1.996332, 648.137024 
-8.213555, -83.183098, 410.657898, 1.848251, 645.334900 
58.276291, -56.757603, 424.758118, 1.759994, 633.030762 
-132.537354, 135.118027, 341.034790, 1.932835, 986.636658 
-58.081490, 6.638946, 301.835541, 0.967841, 1144.456909 
142.685028, -130.347458, 299.763794, 1.573263, 2001.225098 
52.423103, -6.463006, 237.498886, 1.552368, 2001.228760 
104.256416, 150.435623, 322.256836, 1.366052, 842.181946 
126.606918, 158.457993, 305.288422, 1.600113, 730.786682 
-11.328722, -1.390012, 171.126587, 1.928259, 737.530090 
51.946198, 12.579244, 288.494781, 1.764819, 864.859741 
-89.203751, 117.999069, 397.825623, 1.340402, 642.981934 
-126.965424, 88.868279, 390.525238, 1.886209, 733.766785 
-20.681623, 122.023727, 203.864761, 1.913323, 864.715027 
87.083984, -42.618389, 235.409149, 0.968735, 646.150146 
59.950634, 33.758427, 370.936829, 1.885254, 868.184631 
14.082701, -36.393116, 400.785217, 1.860940, 641.631775 
-59.723404, 101.640045, 356.785645, 1.636365, 986.469360 
132.208908, -110.754349, 250.239624, 1.579697, 2001.273804 
-63.659325, 61.942627, 166.479645, 1.938692, 1106.168335 
92.273552, 87.788330, 401.475800, 1.724538, 1110.112671 
71.140213, 136.087891, 251.226166, 1.361705, 642.595947 
21.591461, -131.537674, 366.926331, 1.507985, 651.688232 
-78.447540, 153.939758, 356.798584, 1.117895, 1092.398804 
-19.410826, -100.616333, 429.394836, 1.126740, 685.153687 
-49.443581, -0.336661, 290.983612, 1.597899, 740.329529 
-92.721016, 124.935783, 261.288849, 1.155462, 759.287231 
76.521576, -26.827984, 247.181351, 1.828471, 871.112061 
-35.594402, -77.629143, 312.884766, 1.730974, 733.766663 
120.814522, -125.564865, 246.096161, 1.430454, 633.058594 
97.529739, -138.248703, 393.858795, 1.936696, 1258.137695 
38.743279, -53.045437, 325.097168, 0.980763, 626.530701 
44.933899, 4.194180, 199.216553, 1.893256, 869.687744 
-58.577812, -150.910431, 377.825378, 1.169820, 2001.330078 
83.821915, 140.517700, 427.586517, 1.020778, 958.771362 
-4.169319, 48.396496, 197.591934, 1.881191, 756.759521 
-71.995232, -89.684219, 167.088776, 1.430847, 759.215149 
57.831589, 42.049076, 375.332550, 1.837465, 759.114441 
-125.858856, -19.070196, 282.774689, 1.079838, 884.540039 
41.959080, -3.618184, 288.472992, 0.992793, 982.685730 
-103.994186, 20.336378, 426.829834, 1.619857, 749.427063 
-131.433487, 154.865402, 333.388672, 1.561258, 1117.524658 
111.806572, -59.534588, 279.046509, 1.830735, 982.599731 
49.476669, 121.585922, 400.883881, 1.119001, 2001.367554 
-21.316027, -19.047531, 194.501984, 1.960700, 753.475647 
-112.667625, 143.448959, 351.735931, 1.520195, 741.695435 
142.465210, -140.111099, 352.881409, 1.390199, 2001.378906 
83.489799, -18.959885, 386.875061, 1.076775, 1090.374634 
-55.038437, 104.373047, 383.915436, 1.555173, 867.152466 
78.273155, 74.667000, 262.359131, 1.482838, 749.302368 
-26.741852, -78.246254, 325.512421, 1.829070, 872.714844 
102.587776, 19.719280, 410.250732, 1.355763, 658.802307 
77.490562, 69.424843, 192.969864, 1.172522, 622.874329 
31.412268, -68.820251, 251.205505, 1.894479, 651.895630 
-17.942686, 45.143597, 196.112625, 1.755434, 761.600037 
65.689819, 88.262207, 417.556366, 1.038480, 1255.000000 
