x, y, z, size 
3.740918, -9.326302, -65.531151, 3.252143, 986.810242 
-9.425940, -5.487196, 47.647343, 2.063140, 50001.011719 
-2.299970, 39.346699, -201.737610, 3.692484, 575.181396 
12.848717, -27.426292, -32.270409, 2.459216, 1076.000000 
-12.314711, 19.956348, 43.860661, 3.531187, 50001.039062 
-5.322552, 17.630314, -201.647949, 3.782128, 786.471252 
-31.568338, 5.275501, 61.876873, 2.571379, 50001.058594 
18.728903, -41.334229, 44.221069, 2.614555, 50001.070312 
1.916430, -13.171657, -202.763535, 2.666574, 756.862671 
1.227781, -1.208670, -202.026154, 3.403947, 918.596924 
9.384114, 18.446224, -201.648315, 3.781787, 351.319366 
9.226937, 32.802048, -49.516029, 2.125082, 1009.243835 
-49.589790, -36.108910, 66.208214, 3.049135, 50001.117188 
1.315535, -10.445681, -202.167862, 3.262224, 872.430054 
3.247302, 25.433491, -202.099457, 3.330637, 336.086975 
36.873890, -23.411201, 62.698799, 1.924241, 50001.148438 
37.128395, -35.697025, 59.280182, 3.208156, 50001.156250 
-22.057693, -35.606976, 51.047306, 3.583807, 50001.167969 
0.553983, -11.015049, -203.098221, 2.331870, 639.392944 
1.989389, -1.819138, -202.700836, 2.729251, 814.938171 
1.607798, 17.420431, -147.477158, 2.971566, 949.948853 
19.935654, 10.002460, 19.936699, 3.185918, 1336.598999 
-8.568620, 35.768955, -202.696548, 2.733542, 273.980652 
32.547459, 16.621071, -2.416210, 3.893716, 1228.086548 
-26.229990, -8.235991, 52.282089, 2.623239, 50001.234375 
15.441003, 23.282267, 30.544371, 2.470498, 1526.280762 
8.038345, -21.306988, 63.955158, 2.629166, 50001.253906 
15.104486, -31.168434, -31.503101, 1.979335, 1085.776855 
27.102053, -20.765158, -20.910509, 2.243366, 1179.593140 
-34.200500, 34.656322, -202.363403, 3.066668, 739.851929 
59.497761, -26.823011, 71.802750, 2.935671, 50001.292969 
11.734660, -3.048964, 45.449661, 3.808662, 50001.304688 
2.501751, -19.102108, -203.302582, 2.127515, 930.771240 
3.032686, -18.801949, 69.253448, 2.506427, 50001.324219 
1.390706, 8.561716, -205.390259, 2.546217, 565.799988 
16.084766, 26.234461, -24.800560, 3.469757, 1006.981140 
-1.942414, 37.255138, -202.645905, 2.784198, 352.237854 
2.203241, -10.041683, 51.059494, 2.532763, 50001.363281 
5.631576, 19.825895, -202.729416, 2.700696, 474.453033 
-0.789833, 11.331502, -202.640656, 2.789445, 520.198914 
20.619371, -17.350922, 51.625126, 3.375691, 50001.390625 
